 443 する	を
 188 する	に
 134 する	と
 117 する	が
 100 する	て を
  88 する	て
  61 する	は
  58 する	を に
  54 する	が を
  52 する	に を
  50 する	から
  50 する	で を
  43 する	で
  42 する	の
  39 する	も
  34 する	から を
  33 する	と を
  28 する	は を
  23 する	て に
  22 する	は に
  21 する	が に
  19 する	か
  18 する	と が
  15 する	くらい
  15 する	は と
  14 する	から に
  14 する	まで
  14 する	と は
  12 する	は て を
  12 する	て と
  11 する	と は を
  11 する	ば
  10 する	に が
   9 する	だけ
   9 する	を と
   9 する	は て
   9 する	で に
   9 する	で が
   8 する	でも
   8 する	と が を
   8 する	て が
   7 する	など
   7 する	さえ
   7 する	て を に
   7 する	に に
   7 する	と も
   7 する	て の
   7 する	へ
   6 する	として
   6 する	まで を
   6 する	が に を
   6 する	を が
   6 する	も に
   6 する	は も
   6 する	と に
   6 する	て て
   5 する	をもって
   5 する	なんか
   5 する	は に を
   5 する	に を に
   5 する	で に を
   5 する	で が を
   5 する	て に を
   5 する	が で を
   5 する	ば を
   5 する	は が
   5 する	て も
   5 する	が と
   5 する	よ
   4 する	だって
   4 する	でも を
   4 する	から も
   4 する	から が
   4 する	は くらい
   4 する	を から
   4 する	て から
   4 する	は て に
   4 する	て に が
   4 する	が を に
   4 する	も を
   4 する	も が
   4 する	の を
   4 する	の に
   4 する	て で
   4 する	が へ
   4 する	か は
   4 する	な
   3 する	において
   3 する	ばかり を
   3 する	ばかり
   3 する	ながら
   3 する	から て を
   3 する	んで を
   3 する	たり を
   3 する	から で
   3 する	から て
   3 する	ので
   3 する	に について
   3 する	は ながら を
   3 する	は から
   3 する	が から
   3 する	も を に
   3 する	は を に
   3 する	は と を
   3 する	は て と
   3 する	に は を
   3 する	に が を
   3 する	と は に
   3 する	と て を
   3 する	て は が
   3 する	て て を
   3 する	て が を
   3 する	て か を
   3 する	が と を
   3 する	が て を
   3 する	が て に
   3 する	か は を
   3 する	よ を
   3 する	も は
   3 する	も と
   3 する	へ を
   3 する	ば で
   3 する	は は
   3 する	に て
   3 する	と と
   3 する	と で
   3 する	と て
   3 する	で と
   3 する	て へ
   3 する	が は
   3 する	が の
   3 する	が で
   3 する	か を
   3 する	か に
   3 する	か が
   3 する	ね
   2 する	において を
   2 する	によって
   2 する	ばかり に
   2 する	ながら を
   2 する	だって を
   2 する	だって に
   2 する	から など
   2 する	から て で を
   2 する	まで が を
   2 する	じゃ は に
   2 する	じゃ て を
   2 する	から は を
   2 する	から に を
   2 する	から と を
   2 する	から て に
   2 する	より を
   2 する	まで に
   2 する	など に
   2 する	など て
   2 する	って を
   2 する	って に
   2 する	だけ を
   2 する	じゃ を
   2 する	じゃ て
   2 する	から へ
   2 する	から と
   2 する	ほど
   2 する	とも
   2 する	って
   2 する	じゃ
   2 する	が として
   2 する	は まで に
   2 する	で から を
   2 する	が から に
   2 する	も から
   2 する	に など
   2 する	に だけ
   2 する	て だけ
   2 する	が さえ
   2 する	て て から を
   2 する	は は は と
   2 する	と は に を
   2 する	と は で を
   2 する	て が を に
   2 する	が に を に
   2 する	を に に
   2 する	ば は と
   2 する	は を と
   2 する	は て か
   2 する	に が に
   2 する	と に を
   2 する	と で に
   2 する	で を に
   2 する	て を か
